Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
phase4_lg_zeroshot_proj256_ft010,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.62,2.09,71.3,N/A,30.0,69.7,14868,2048,768,-8,2,0,
phase4_lg_zeroshot_proj256_ft010,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.34,8.10,28.6,N/A,13.6,94.7,14868,2048,768,-8,2,0,
phase4_lg_zeroshot_proj256_ft010,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.34,8.10,28.6,N/A,13.6,94.7,14868,2048,768,-8,2,0,
