Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
phase2_lora_r4_proj_dinov3only,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.40,1.61,72.1,N/A,17.4,41.4,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.83,4.46,52.6,N/A,11.4,68.4,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.83,4.46,52.6,N/A,11.7,68.4,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.08,4.29,50.7,29.3,31.7,39.0,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.91,14.38,22.3,11.4,21.6,34.9,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.19,5.33,45.2,22.9,30.4,67.8,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.15,9.12,30.4,21.3,19.2,68.8,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.44,5.98,41.2,22.7,31.8,69.6,14896,2000,768,-8,2,0,
phase2_lora_r4_proj_dinov3only,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.69,7.73,33.4,17.1,21.1,70.8,14896,2000,768,-8,2,0,
