Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
projection,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.24,0.91,82.1,N/A,22.2,55.7,14323,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.78,3.81,58.1,N/A,13.2,75.0,14323,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.78,3.81,58.1,N/A,13.4,75.0,14323,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,shared_f,S,0.53,1.98,68.4,43.6,31.8,54.4,14323,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,varying_f,S,1.56,6.38,39.8,19.9,20.8,50.9,14323,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.13,4.43,51.7,24.4,28.8,74.7,14323,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.05,7.78,34.6,23.4,16.5,75.8,14323,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.26,5.06,46.3,25.0,31.9,76.8,14323,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.54,6.31,39.0,19.8,19.8,78.1,14323,2000,768,-8,2,0,
