Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
fusion,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.30,1.21,78.0,N/A,12.2,47.6,14896,2000,768,-8,2,0,
fusion,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.79,3.91,57.5,N/A,7.2,65.3,14896,2000,768,-8,2,0,
fusion,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.79,3.91,57.5,N/A,7.3,65.3,14896,2000,768,-8,2,0,
fusion,UniDepth,4p_ours_scale_shift+12,shared_f,S,0.75,3.00,59.3,36.3,28.3,45.4,14896,2000,768,-8,2,0,
fusion,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.33,11.18,28.1,14.3,17.0,40.6,14896,2000,768,-8,2,0,
fusion,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.12,4.57,50.7,24.8,26.3,64.9,14896,2000,768,-8,2,0,
fusion,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.07,7.90,34.4,23.4,13.9,65.5,14896,2000,768,-8,2,0,
fusion,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.29,5.29,45.2,24.9,28.3,66.6,14896,2000,768,-8,2,0,
fusion,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.58,6.53,38.2,19.6,16.2,67.4,14896,2000,768,-8,2,0,
