Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dift,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.37,1.56,73.7,N/A,10.5,41.9,14896,2000,768,-1,2,125,
dift,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.79,3.99,56.5,N/A,6.4,59.1,14896,2000,768,-1,2,125,
dift,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.79,3.99,56.5,N/A,6.4,59.1,14896,2000,768,-1,2,125,
dift,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.04,4.38,50.5,29.1,26.4,39.1,14896,2000,768,-1,2,125,
dift,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.88,15.57,21.6,11.3,15.2,34.5,14896,2000,768,-1,2,125,
dift,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.13,4.83,48.6,24.0,24.8,58.5,14896,2000,768,-1,2,125,
dift,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.09,8.66,32.3,22.8,13.0,59.0,14896,2000,768,-1,2,125,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.33,5.64,43.5,24.0,26.4,60.1,14896,2000,768,-1,2,125,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.61,7.20,35.7,18.6,14.8,60.7,14896,2000,768,-1,2,125,
