Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
projection,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.25,0.96,81.5,N/A,19.5,53.8,14896,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.77,3.80,58.4,N/A,11.7,74.6,14896,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.77,3.80,58.4,N/A,12.0,74.6,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,shared_f,S,0.57,2.15,66.9,42.2,29.9,52.4,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,varying_f,S,1.74,7.49,36.3,18.2,18.7,48.6,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.12,4.42,51.8,24.5,27.5,74.3,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.05,7.73,34.8,23.3,15.3,75.3,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.28,5.10,45.8,25.0,30.1,76.2,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.57,6.34,38.9,19.6,18.1,77.4,14896,2000,768,-8,2,0,
