Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
stage2_151scenes_lg_ft015,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.51,1.64,74.9,N/A,34.4,77.7,14868,2048,768,-8,2,0,
stage2_151scenes_lg_ft015,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.46,8.54,26.1,N/A,13.0,94.9,14868,2048,768,-8,2,0,
stage2_151scenes_lg_ft015,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.46,8.54,26.1,N/A,13.0,94.9,14868,2048,768,-8,2,0,
