Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
projection,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.31,1.20,78.4,N/A,13.9,48.0,14896,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.77,3.82,58.3,N/A,8.4,70.5,14896,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.77,3.82,58.3,N/A,8.6,70.5,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,shared_f,S,0.74,2.97,60.0,36.5,27.7,46.0,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.21,10.61,28.7,14.4,16.7,41.7,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.11,4.50,51.1,24.4,25.9,70.0,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.04,7.86,34.1,23.2,14.2,71.0,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.30,5.28,45.0,24.7,28.1,71.8,14896,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.58,6.65,37.5,18.8,16.4,72.9,14896,2000,768,-8,2,0,
