Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dift,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.37,1.54,74.0,N/A,10.6,42.2,14896,2000,768,-1,2,100,
dift,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.79,3.99,56.6,N/A,6.4,59.2,14896,2000,768,-1,2,100,
dift,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.79,3.99,56.6,N/A,6.5,59.2,14896,2000,768,-1,2,100,
dift,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.01,4.34,50.8,29.9,26.5,39.4,14896,2000,768,-1,2,100,
dift,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.84,15.21,22.0,11.5,15.2,34.7,14896,2000,768,-1,2,100,
dift,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.11,4.84,48.8,24.1,24.9,58.6,14896,2000,768,-1,2,100,
dift,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.09,8.58,32.6,22.7,13.1,59.1,14896,2000,768,-1,2,100,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.32,5.56,43.7,24.0,26.4,60.2,14896,2000,768,-1,2,100,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.60,7.05,36.3,18.9,14.8,60.8,14896,2000,768,-1,2,100,
