Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
stage2_151scenes_lg_ft010,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.19,0.68,85.5,N/A,24.2,71.8,14896,2048,768,-8,2,0,
stage2_151scenes_lg_ft010,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.78,3.82,58.1,N/A,10.8,86.5,14896,2048,768,-8,2,0,
stage2_151scenes_lg_ft010,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.78,3.82,58.1,N/A,10.8,86.5,14896,2048,768,-8,2,0,
