Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dinov3,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.52,2.21,65.0,N/A,8.7,35.4,14896,2000,1120,-16,1,261,
dinov3,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.86,4.45,52.1,N/A,5.6,54.9,14896,2000,1120,-16,1,261,
dinov3,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.86,4.45,52.1,N/A,5.7,54.9,14896,2000,1120,-16,1,261,
dinov3,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.52,6.25,41.2,22.5,24.9,32.5,14896,2000,1120,-16,1,261,
dinov3,UniDepth,4p_ours_scale_shift+12,varying_f,S,3.82,20.72,15.7,7.9,14.1,28.1,14896,2000,1120,-16,1,261,
dinov3,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,1.24,5.52,43.9,20.9,24.0,54.1,14896,2000,1120,-16,1,261,
dinov3,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,1.25,10.59,27.9,18.6,12.4,54.3,14896,2000,1120,-16,1,261,
dinov3,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,1.47,6.40,39.6,21.0,25.1,55.8,14896,2000,1120,-16,1,261,
dinov3,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,1.77,8.52,31.3,15.7,13.8,56.4,14896,2000,1120,-16,1,261,
