Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
phase2_lora_r4_proj_fusion,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.42,2.43,71.9,N/A,20.8,54.8,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,0.88,5.04,52.3,N/A,11.3,79.3,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,0.88,5.04,52.3,N/A,11.0,79.3,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift+12,shared_f,S,0.86,4.10,53.0,23.8,32.4,53.7,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift+12,varying_f,S,1.82,9.52,28.1,8.4,22.7,52.1,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,0.89,5.44,50.7,28.9,27.8,78.9,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,0.80,9.36,29.6,26.1,16.2,79.6,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,0.71,4.47,53.3,27.1,31.8,79.4,196,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,0.87,9.23,28.9,24.4,20.6,79.6,196,2000,768,-8,2,0,
