Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dift,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.63,2.16,70.9,N/A,20.3,53.9,14868,2000,768,-1,2,0,
dift,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.36,8.19,27.9,N/A,11.4,70.3,14868,2000,768,-1,2,0,
dift,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.36,8.19,27.9,N/A,11.6,70.3,14868,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.22,3.93,54.0,32.7,29.9,53.2,14868,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.35,11.23,24.2,13.5,19.3,51.4,14868,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.73,8.38,26.5,16.8,26.5,70.1,14868,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.39,16.29,17.0,10.4,14.6,71.3,14868,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.12,7.65,34.2,21.0,30.3,71.4,14868,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.80,25.65,12.7,12.2,18.5,71.9,14868,2000,768,-1,2,0,
