Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
phase4_lg_zeroshot_proj256_ft005,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.61,2.08,71.6,N/A,30.4,67.7,14868,2048,768,-8,2,0,
phase4_lg_zeroshot_proj256_ft005,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.33,8.09,28.8,N/A,14.2,93.9,14868,2048,768,-8,2,0,
phase4_lg_zeroshot_proj256_ft005,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.33,8.09,28.8,N/A,14.2,93.9,14868,2048,768,-8,2,0,
