Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
lora_r4,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.58,1.96,72.4,N/A,29.6,63.2,14868,2000,768,-8,2,0,
lora_r4,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.38,8.24,27.7,N/A,16.3,84.9,14868,2000,768,-8,2,0,
lora_r4,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.38,8.24,27.7,N/A,16.5,84.9,14868,2000,768,-8,2,0,
lora_r4,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.08,3.37,58.2,35.4,38.6,62.5,14868,2000,768,-8,2,0,
lora_r4,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.13,10.09,27.2,14.9,27.7,60.9,14868,2000,768,-8,2,0,
lora_r4,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.72,8.39,26.6,16.8,33.2,84.6,14868,2000,768,-8,2,0,
lora_r4,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.36,16.72,17.0,10.2,20.4,86.4,14868,2000,768,-8,2,0,
lora_r4,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.18,7.78,33.8,20.8,39.2,86.1,14868,2000,768,-8,2,0,
lora_r4,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.90,28.40,11.8,11.8,26.1,86.9,14868,2000,768,-8,2,0,
