Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dift,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.62,2.16,71.1,N/A,18.8,53.4,14868,2000,768,-1,2,4,
dift,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.37,8.21,27.8,N/A,10.6,69.5,14868,2000,768,-1,2,4,
dift,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.37,8.21,27.8,N/A,10.7,69.5,14868,2000,768,-1,2,4,
dift,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.23,3.96,53.9,32.5,29.7,52.6,14868,2000,768,-1,2,4,
dift,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.37,11.44,23.9,13.4,19.1,50.8,14868,2000,768,-1,2,4,
dift,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.73,8.40,26.3,16.7,26.4,69.3,14868,2000,768,-1,2,4,
dift,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.40,16.51,16.7,10.4,14.4,70.5,14868,2000,768,-1,2,4,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.14,7.78,33.8,20.8,30.2,70.7,14868,2000,768,-1,2,4,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.80,25.87,12.5,12.3,18.3,71.2,14868,2000,768,-1,2,4,
