Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
projection,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.56,1.86,73.3,N/A,29.9,64.7,14868,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.37,8.24,27.6,N/A,16.5,86.3,14868,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.37,8.24,27.6,N/A,16.6,86.3,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.02,3.20,59.8,36.7,36.4,64.0,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.04,9.62,28.6,15.6,25.4,62.4,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.71,8.31,26.7,16.9,31.2,85.9,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.38,16.19,17.3,10.5,18.1,87.7,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.14,7.59,34.7,21.2,37.1,87.4,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.86,26.64,12.1,11.9,24.2,88.1,14868,2000,768,-8,2,0,
