Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
projection,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.56,1.88,73.0,N/A,28.3,64.0,14868,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.36,8.22,27.8,N/A,15.3,85.7,14868,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.36,8.22,27.8,N/A,15.6,85.7,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.02,3.21,59.3,36.3,37.0,63.4,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.03,9.54,28.6,15.7,25.4,61.8,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.70,8.28,27.0,17.0,31.8,85.3,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.35,16.05,17.6,10.6,18.1,87.1,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.12,7.62,34.7,21.1,38.0,86.8,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.86,26.76,12.3,12.0,24.3,87.5,14868,2000,768,-8,2,0,
