Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dift,UniDepth,3p_ours_shift_scale+12,calibrated,S,1.39,3.83,52.4,N/A,6.9,27.5,2577,2000,768,-1,2,0,
dift,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.36,6.19,39.0,N/A,4.4,39.6,2577,2000,768,-1,2,0,
dift,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.36,6.19,39.0,N/A,4.4,39.6,2577,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift+12,shared_f,S,3.92,8.53,30.8,13.3,23.6,25.6,2577,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift+12,varying_f,S,6.04,21.74,13.4,4.7,12.6,22.5,2577,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,3.11,7.51,32.1,16.3,22.1,37.7,2577,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.84,16.58,21.1,12.5,10.5,37.2,2577,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.16,5.43,41.7,18.6,23.2,40.9,2577,2000,768,-1,2,0,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.78,12.80,22.6,11.1,12.0,40.2,2577,2000,768,-1,2,0,
