Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
projection,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.58,1.99,72.3,N/A,29.2,63.1,14868,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.38,8.28,27.5,N/A,16.3,85.0,14868,2000,768,-8,2,0,
projection,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.38,8.28,27.5,N/A,16.5,85.0,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.06,3.32,58.5,35.8,34.9,62.4,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.10,9.77,27.7,15.4,24.2,60.9,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.71,8.29,26.8,17.1,30.2,84.6,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.36,15.96,17.5,10.5,17.6,86.3,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.11,7.52,34.8,21.4,35.7,86.0,14868,2000,768,-8,2,0,
projection,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.84,25.93,12.6,12.1,23.2,86.8,14868,2000,768,-8,2,0,
