Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
phase2_lora_r4_proj_fusion,UniDepth,3p_ours_shift_scale+12,calibrated,S,0.68,2.29,69.2,N/A,22.7,57.0,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.44,8.57,26.0,N/A,12.8,81.8,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.44,8.57,26.0,N/A,13.1,81.8,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift+12,shared_f,S,1.25,4.00,53.5,32.1,32.4,56.4,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift+12,varying_f,S,2.37,11.51,23.8,13.1,21.9,54.9,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,2.77,8.60,25.3,16.2,28.8,81.2,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,2.41,16.98,16.2,9.9,16.5,83.2,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.18,7.89,33.1,20.6,33.5,82.6,14868,2000,768,-8,2,0,
phase2_lora_r4_proj_fusion,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.86,27.93,11.6,11.5,21.3,83.6,14868,2000,768,-8,2,0,
