Matches,Depth,Solver,Exp.Type,Opt.,εr(°),εt(°),mAA@10,mAA_f@10,τ(ms),Inliers,Num_Pairs,max_points,img_size,feat_level,up_ft_index,dift_t,ratio_thresh
dift,UniDepth,3p_ours_shift_scale+12,calibrated,S,1.44,3.92,50.9,N/A,6.7,27.3,2577,2000,768,-1,2,8,
dift,UniDepth,3p_ours_shift_scale_hybrid_reproj+12,calibrated,H,2.46,6.28,38.4,N/A,4.2,39.0,2577,2000,768,-1,2,8,
dift,UniDepth,3p_ours_shift_scale_reproj+12,calibrated,S,2.46,6.28,38.4,N/A,4.2,39.0,2577,2000,768,-1,2,8,
dift,UniDepth,4p_ours_scale_shift+12,shared_f,S,4.22,8.81,29.4,12.0,23.8,25.5,2577,2000,768,-1,2,8,
dift,UniDepth,4p_ours_scale_shift+12,varying_f,S,6.30,20.13,13.0,4.5,12.6,22.4,2577,2000,768,-1,2,8,
dift,UniDepth,4p_ours_scale_shift_reproj+12,shared_f,S,3.21,7.75,31.4,16.3,22.4,37.3,2577,2000,768,-1,2,8,
dift,UniDepth,4p_ours_scale_shift_reproj+12,varying_f,S,3.01,17.31,20.5,12.5,10.7,36.6,2577,2000,768,-1,2,8,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,shared_f,S,2.21,5.47,41.5,18.0,23.3,40.5,2577,2000,768,-1,2,8,
dift,UniDepth,4p_ours_scale_shift_reproj-s+12,varying_f,S,2.82,13.29,22.5,10.7,12.1,39.8,2577,2000,768,-1,2,8,
