Experiment,Median_R_err,Median_t_err,mAA_5,mAA_10,mAA_20,Num_Pairs
p3p_hybrid-s+12,0.00,76.73,0.0,0.0,0.0,3
p3p_hybrid-s+2,0.00,76.73,0.0,0.0,0.0,3
p3p_hybrid-s+6,0.00,76.73,0.0,0.0,0.0,3
p3p_hybrid-s_reproj+1,0.00,44.59,0.0,0.0,0.0,3
p3p_hybrid-s_reproj+10,0.00,44.59,0.0,0.0,0.0,3
p3p_hybrid-s_reproj+12,0.00,44.59,0.0,0.0,0.0,3
p3p_hybrid-s_reproj+2,0.00,44.59,0.0,0.0,0.0,3
p3p_hybrid-s_reproj+6,0.00,44.59,0.0,0.0,0.0,3
p3p_hybrid_reproj+1,0.00,45.19,0.0,0.0,0.0,3
p3p_hybrid_reproj+10,0.00,45.19,0.0,0.0,0.0,3
p3p_hybrid_reproj+12,0.00,45.19,0.0,0.0,0.0,3
p3p_hybrid_reproj+2,0.00,45.19,0.0,0.0,0.0,3
p3p_hybrid_reproj+6,0.00,45.19,0.0,0.0,0.0,3
p3p_reproj+1,0.00,45.19,0.0,0.0,0.0,3
p3p_reproj+10,0.00,45.19,0.0,0.0,0.0,3
p3p_reproj+12,0.00,45.19,0.0,0.0,0.0,3
p3p_reproj+2,0.00,45.19,0.0,0.0,0.0,3
p3p_reproj+6,0.00,45.19,0.0,0.0,0.0,3
p3p_reproj-s+1,0.00,44.59,0.0,0.0,0.0,3
p3p_reproj-s+10,0.00,44.59,0.0,0.0,0.0,3
p3p_reproj-s+12,0.00,44.59,0.0,0.0,0.0,3
p3p_reproj-s+2,0.00,44.59,0.0,0.0,0.0,3
p3p_reproj-s+6,0.00,44.59,0.0,0.0,0.0,3
p3p_sym_reproj+1,0.00,45.19,0.0,0.0,0.0,3
p3p_sym_reproj+10,0.00,45.19,0.0,0.0,0.0,3
p3p_sym_reproj+12,0.00,45.19,0.0,0.0,0.0,3
p3p_sym_reproj+2,0.00,45.19,0.0,0.0,0.0,3
p3p_sym_reproj+6,0.00,45.19,0.0,0.0,0.0,3
