Matches,Depth,Solver,εr(°),εt(°),mAA@5,mAA@10,mAA@20,τ(ms),Inliers,Num_Pairs
dinov3,UniDepth,mad_poselib_shift_scale_reproj-s+10,0.00,58.86,0.0,0.0,0.0,8761.6,85.5,3
dinov3,UniDepth,mad_poselib_shift_scale_reproj-s+12,0.00,58.86,0.0,0.0,0.0,8793.4,85.5,3
dinov3,UniDepth,mad_poselib_shift_scale_reproj-s+2,0.00,58.86,0.0,0.0,0.0,8788.1,85.5,3
dinov3,UniDepth,mad_poselib_shift_scale_reproj-s+6,0.00,58.86,0.0,0.0,0.0,8766.1,85.5,3
dinov3,UniDepth,madpose+1,0.00,76.22,0.0,0.0,0.0,156103.5,89.7,3
dinov3,UniDepth,madpose+10,0.00,76.22,0.0,0.0,0.0,156710.5,89.7,3
dinov3,UniDepth,madpose+12,0.00,76.22,0.0,0.0,0.0,156486.7,89.7,3
dinov3,UniDepth,madpose+2,0.00,76.22,0.0,0.0,0.0,156139.8,89.7,3
dinov3,UniDepth,madpose+6,0.00,76.22,0.0,0.0,0.0,156730.6,89.7,3
dinov3,UniDepth,madpose_noshift_ours_scale+1,0.01,46.07,0.0,0.0,0.0,124395.8,85.5,3
dinov3,UniDepth,madpose_noshift_ours_scale+10,0.01,46.07,0.0,0.0,0.0,124064.4,85.5,3
dinov3,UniDepth,madpose_noshift_ours_scale+12,0.01,46.07,0.0,0.0,0.0,124296.9,85.5,3
dinov3,UniDepth,madpose_noshift_ours_scale+2,0.01,46.07,0.0,0.0,0.0,124230.1,85.5,3
dinov3,UniDepth,madpose_noshift_ours_scale+6,0.01,46.07,0.0,0.0,0.0,124729.8,85.5,3
dinov3,UniDepth,madpose_ours_scale_shift+1,0.00,76.22,0.0,0.0,0.0,154653.5,89.7,3
dinov3,UniDepth,madpose_ours_scale_shift+10,0.00,76.22,0.0,0.0,0.0,156328.7,89.7,3
dinov3,UniDepth,madpose_ours_scale_shift+12,0.00,76.22,0.0,0.0,0.0,154313.4,89.7,3
dinov3,UniDepth,madpose_ours_scale_shift+2,0.00,76.22,0.0,0.0,0.0,154447.9,89.7,3
dinov3,UniDepth,madpose_ours_scale_shift+6,0.00,76.22,0.0,0.0,0.0,154915.9,89.7,3
dinov3,UniDepth,p3p+1,0.00,76.73,0.0,0.0,0.0,1297.6,89.7,3
dinov3,UniDepth,p3p+10,0.00,76.73,0.0,0.0,0.0,1283.8,89.7,3
dinov3,UniDepth,p3p+12,0.00,76.73,0.0,0.0,0.0,1281.3,89.7,3
dinov3,UniDepth,p3p+2,0.00,76.73,0.0,0.0,0.0,1286.3,89.7,3
dinov3,UniDepth,p3p+6,0.00,76.73,0.0,0.0,0.0,1281.4,89.7,3
dinov3,UniDepth,p3p_hybrid+1,0.00,76.73,0.0,0.0,0.0,1292.1,89.7,3
dinov3,UniDepth,p3p_hybrid+10,0.00,76.73,0.0,0.0,0.0,1284.1,89.7,3
dinov3,UniDepth,p3p_hybrid+12,0.00,76.73,0.0,0.0,0.0,1281.3,89.7,3
dinov3,UniDepth,p3p_hybrid+2,0.00,76.73,0.0,0.0,0.0,1288.5,89.7,3
dinov3,UniDepth,p3p_hybrid+6,0.00,76.73,0.0,0.0,0.0,1281.5,89.7,3
dinov3,UniDepth,p3p_hybrid-s+1,0.00,76.73,0.0,0.0,0.0,1286.3,89.7,3
dinov3,UniDepth,p3p_hybrid-s+10,0.00,76.73,0.0,0.0,0.0,1278.7,89.7,3
dinov3,UniDepth,p3p_hybrid-s+12,0.00,76.73,0.0,0.0,0.0,1287.2,89.7,3
dinov3,UniDepth,p3p_hybrid-s+2,0.00,76.73,0.0,0.0,0.0,1289.0,89.7,3
dinov3,UniDepth,p3p_hybrid-s+6,0.00,76.73,0.0,0.0,0.0,1308.8,89.7,3
dinov3,UniDepth,p3p_hybrid-s_reproj+1,0.00,44.59,0.0,0.0,0.0,820.8,85.5,3
dinov3,UniDepth,p3p_hybrid-s_reproj+10,0.00,44.59,0.0,0.0,0.0,827.0,85.5,3
dinov3,UniDepth,p3p_hybrid-s_reproj+12,0.00,44.59,0.0,0.0,0.0,812.2,85.5,3
dinov3,UniDepth,p3p_hybrid-s_reproj+2,0.00,44.59,0.0,0.0,0.0,820.7,85.5,3
dinov3,UniDepth,p3p_hybrid-s_reproj+6,0.00,44.59,0.0,0.0,0.0,813.3,85.5,3
dinov3,UniDepth,p3p_hybrid_reproj+1,0.00,45.19,0.0,0.0,0.0,604.5,85.5,3
dinov3,UniDepth,p3p_hybrid_reproj+10,0.00,45.19,0.0,0.0,0.0,596.7,85.5,3
dinov3,UniDepth,p3p_hybrid_reproj+12,0.00,45.19,0.0,0.0,0.0,595.4,85.5,3
dinov3,UniDepth,p3p_hybrid_reproj+2,0.00,45.19,0.0,0.0,0.0,603.0,85.5,3
dinov3,UniDepth,p3p_hybrid_reproj+6,0.00,45.19,0.0,0.0,0.0,598.4,85.5,3
dinov3,UniDepth,p3p_reproj+1,0.00,45.19,0.0,0.0,0.0,610.6,85.5,3
dinov3,UniDepth,p3p_reproj+10,0.00,45.19,0.0,0.0,0.0,599.5,85.5,3
dinov3,UniDepth,p3p_reproj+12,0.00,45.19,0.0,0.0,0.0,599.9,85.5,3
dinov3,UniDepth,p3p_reproj+2,0.00,45.19,0.0,0.0,0.0,599.8,85.5,3
dinov3,UniDepth,p3p_reproj+6,0.00,45.19,0.0,0.0,0.0,600.1,85.5,3
dinov3,UniDepth,p3p_reproj-s+1,0.00,44.59,0.0,0.0,0.0,821.3,85.5,3
dinov3,UniDepth,p3p_reproj-s+10,0.00,44.59,0.0,0.0,0.0,811.9,85.5,3
dinov3,UniDepth,p3p_reproj-s+12,0.00,44.59,0.0,0.0,0.0,812.5,85.5,3
dinov3,UniDepth,p3p_reproj-s+2,0.00,44.59,0.0,0.0,0.0,829.0,85.5,3
dinov3,UniDepth,p3p_reproj-s+6,0.00,44.59,0.0,0.0,0.0,815.6,85.5,3
dinov3,UniDepth,p3p_sym_reproj+1,0.00,45.19,0.0,0.0,0.0,621.5,85.5,3
dinov3,UniDepth,p3p_sym_reproj+10,0.00,45.19,0.0,0.0,0.0,600.5,85.5,3
dinov3,UniDepth,p3p_sym_reproj+12,0.00,45.19,0.0,0.0,0.0,604.0,85.5,3
dinov3,UniDepth,p3p_sym_reproj+2,0.00,45.19,0.0,0.0,0.0,606.4,85.5,3
dinov3,UniDepth,p3p_sym_reproj+6,0.00,45.19,0.0,0.0,0.0,602.9,85.5,3
